experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
takeover,wait-then-destroy,6,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238072485707367,4238072485710432,4238072485885271,1790059448602502144,4238072486885502,4238072486885804,4238072486885950,4238072486886636,4238072492014058,4238072569750902,4238072485705343,4238072569751392,4238072569753545,4238072569756121,4238072569877891,0.30199999999999999,77736.843999999997,82865.399999999994,2.6429999999999998,2.5760000000000001,124.346,82992.388999999996,1790059448686489600,1790059448686489600,4238072569868960.5,4238072569861100,4238072569876821,14383,1759,1
takeover,b_with_idle_a,7,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238072699282697,4238072699290210,4238072699464916,nan,nan,nan,nan,7.5129999999999999,182.21899999999999,nan,1790059448816074752,1790059448816074752,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,7,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238072699705548,4238072699708187,4238072699880687,1790059448816493568,4238072700880934,4238072700881337,4238072700881368,4238072700882047,4238072705935573,4238072781426401,4238072699697091,4238072781427103,4238072781429389,4238072781432910,4238072781552356,0.40300000000000002,75490.827999999994,80545.467000000004,2.988,3.5209999999999999,122.967,80671.422000000006,1790059448898160640,1790059448898160640,4238072781544453,4238072781537241,4238072781551665,13615,1330.5,1
takeover,b_with_idle_a,7,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238072909993330,4238072910000799,4238072910176482,nan,nan,nan,nan,7.4690000000000003,183.15199999999999,nan,1790059449026781184,1790059449026781184,nan,nan,nan,nan,nan,0
takeover,destroy,7,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238072910460324,4238072910463210,4238072910636219,1790059449027245056,4238072911636442,4238072911636665,4238072911636695,4238072911637378,4238072911637959,4238072991812455,4238072910454650,4238072991813148,4238072991815368,4238072991818131,4238072991938198,0.223,80174.495999999999,80176.013000000006,2.9129999999999998,2.7629999999999999,122.83,80301.755999999994,1790059449108542464,1790059449108542464,4238072991930562.5,4238072991923349,4238072991937776,13470,1290.5,1
takeover,b_with_idle_a,8,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238073120620712,4238073120628114,4238073120800319,nan,nan,nan,nan,7.4020000000000001,179.607,nan,1790059449237401600,1790059449237401600,nan,nan,nan,nan,nan,0
takeover,destroy,8,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238073121125552,4238073121128345,4238073121298659,1790059449237903360,4238073122299021,4238073122299411,4238073122299499,4238073122300204,4238073122300814,4238073202483632,4238073121119887,4238073202484091,4238073202486504,4238073202489062,4238073202609710,0.39000000000000001,80182.817999999999,80184.611000000004,2.8719999999999999,2.5579999999999998,123.206,80310.688999999998,1790059449319208960,1790059449319208960,4238073202600615.5,4238073202592414,4238073202608817,14544,2377,1
takeover,b_with_idle_a,8,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238073331257469,4238073331265084,4238073331440117,nan,nan,nan,nan,7.6150000000000002,182.648,nan,1790059449448037376,1790059449448037376,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,8,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238073331748917,4238073331751834,4238073331923976,1790059449448524800,4238073332924200,4238073332924567,4238073332924597,4238073332925270,4238073337979233,4238073412815780,4238073331747306,4238073412816280,4238073412818355,4238073412821596,4238073412941200,0.36699999999999999,74836.547000000006,79891.580000000002,2.5750000000000002,3.2410000000000001,122.845,80017,1790059449529536512,1790059449529536512,4238073412932208,4238073412924276,4238073412940140,14037,2027.5,1
takeover,b_with_idle_a,9,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238073541496641,4238073541504192,4238073541679967,nan,nan,nan,nan,7.5510000000000002,183.32599999999999,nan,1790059449658272768,1790059449658272768,nan,nan,nan,nan,nan,0
