experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
takeover,destroy,2,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237919260666051,4237919260670917,4237919260905702,1790059295380526080,4237919261906097,4237919261906507,4237919261906545,4237919261907592,4237919261908707,4237919376901996,4237919260651963,4237919376902985,4237919376906120,4237919376910679,4237919377073845,0.40999999999999998,114993.289,114995.899,4.1239999999999997,4.5590000000000002,167.72499999999999,115167.74800000001,1790059295496687616,1790059295496687616,4237919377063366,4237919377053727,4237919377073005,17953,1732,1
takeover,b_with_idle_a,3,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237919568136439,4237919568150169,4237919568385217,nan,nan,nan,nan,13.73,248.77799999999999,nan,1790059295687994368,1790059295687995392,nan,nan,nan,nan,nan,0
takeover,destroy,3,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237919568787991,4237919568792969,4237919569027546,1790059295688642560,4237919570027911,4237919570028472,4237919570028512,4237919570029806,4237919570030945,4237919684999766,4237919568773665,4237919685000679,4237919685004167,4237919685007959,4237919685171338,0.56100000000000005,114968.821,114971.855,4.4009999999999998,3.7919999999999998,167.17099999999999,115143.427,1790059295804779520,1790059295804779520,4237919685160627,4237919685150476,4237919685170778,18111,2625.5,1
takeover,b_with_idle_a,4,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237919872823896,4237919872876333,4237919873071663,nan,nan,nan,nan,52.436999999999998,247.767,nan,1790059295992673280,1790059295992673280,nan,nan,nan,nan,nan,0
takeover,destroy,4,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237919873451343,4237919873455798,4237919873690847,1790059295993299968,4237919874691231,4237919874691790,4237919874691829,4237919874693005,4237919874694405,4237919991858116,4237919873426980,4237919991859118,4237919991862670,4237919991867025,4237919992030390,0.55900000000000005,117163.711,117166.88499999999,4.5540000000000003,4.3550000000000004,167.72,117339.159,1790059296111632384,1790059296111632384,4237919992019131.5,4237919992009561,4237919992028702,18020,1738.5,1
takeover,b_with_idle_a,5,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237920181058630,4237920181070828,4237920181306939,nan,nan,nan,nan,12.198,248.309,nan,1790059296300905472,1790059296300906496,nan,nan,nan,nan,nan,0
takeover,destroy,5,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237920181652027,4237920181656644,4237920181891651,1790059296301495296,4237920182892022,4237920182892427,4237920182892467,4237920182893667,4237920182894819,4237920297442507,4237920181637609,4237920297443423,4237920297446412,4237920297451637,4237920297613857,0.40500000000000003,114547.68799999999,114550.485,3.9049999999999998,5.2249999999999996,167.44499999999999,114721.83500000001,1790059296417210368,1790059296417210368,4237920297603171.5,4237920297593195,4237920297613148,18135,2474,1
takeover,b_with_idle_a,6,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237920484791307,4237920484802739,4237920485040184,nan,nan,nan,nan,11.432,248.87700000000001,nan,1790059296604633088,1790059296604633088,nan,nan,nan,nan,nan,0
takeover,destroy,6,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237920485421186,4237920485425924,4237920485660086,1790059296605257728,4237920486660379,4237920486660933,4237920486660972,4237920486662091,4237920486663172,4237920604041326,4237920485409483,4237920604042264,4237920604045035,4237920604048619,4237920604212197,0.55400000000000005,117378.15399999999,117380.947,3.7090000000000001,3.5840000000000001,167.16200000000001,117551.818,1790059296723803136,1790059296723803136,4237920604200445.5,4237920604189960,4237920604210931,18503,2642,1
takeover,b_with_idle_a,7,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237920792491396,4237920792502658,4237920792739610,nan,nan,nan,nan,11.262,248.214,nan,1790059296912327680,1790059296912327680,nan,nan,nan,nan,nan,0
