experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid,invalidate_to_b_launch_us,invalidate_to_b_gpu_start_est_us,invalidate_to_b_gpu_start_lower_us,invalidate_to_b_gpu_start_upper_us,a_pending_after_invalidate,a_event_pending_after_b_complete,a_context_alive_after_b_complete,t_A_post_B_query_begin_ns,t_A_post_B_query_end_ns,t_A_complete_observed_ns,a_launch_seq,b_launch_seq
live-handoff,live-handoff,4,2,ok,1,10,3428,9.9860477447509766,10.386431694030762,18688.227702258369,0.0071680000983178616,0.99860477447509766,1,-1,0,1,2,4241561085525640,4241561085528960,4241561085680075,1790062937137376256,4241561086678955,4241561086679705,4241561086679932,4241561086680403,0,0,4241561085522680,4241561086679686,4241561086684018,4241561086689947,4241561087974547,0.75,nan,nan,nan,5.9290000000000003,1290.529,1295.5920000000001,1790062937139666944,1790062937139666944,4241561087966573,4241561087958599,4241561087974547,17477,160.5,1,5.0629999999999997,1287.6179999999999,1279.644,1295.5920000000001,1,1,1,4241561087974946,4241561087975327,4241561096064071,115,221
calibration,a_with_idle_b,5,0,ok,1,10,3428,9.9850244522094727,9.9850244522094727,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,idle,5,0,ok,1,10,3428,9.9870719909667969,nan,nan,0.01228800043463707,0,0,-1,0,1,2,0,0,0,0,4241561133250397,4241561133251039,4241561133251129,4241561133251473,0,0,4241561133248552,4241561133250848,4241561133255312,4241561133262623,4241561133275200,0.64200000000000002,nan,nan,nan,7.3109999999999999,19.888000000000002,24.803000000000001,1790062937184964608,1790062937184964608,4241561133265534.5,4241561133256921,4241561133274148,17063,175.5,1,4.915,15.137499999999999,6.524,23.751000000000001,0,0,1,4241561133275600,4241561133275998,0,0,236
live-handoff,live-handoff,5,1,ok,1,10,3428,9.9860477447509766,10.387455940246582,18686.384965536832,0.0071680000983178616,0.99860477447509766,1,-1,0,1,2,4241561153323303,4241561153327177,4241561153481857,1790062937205177344,4241561154480626,4241561154481445,4241561154481670,4241561154482127,0,0,4241561153320559,4241561154481419,4241561154485815,4241561154491579,4241561155774063,0.81899999999999995,nan,nan,nan,5.7640000000000002,1288.248,1293.4369999999999,1790062937207464960,1790062937207464960,4241561155765813,4241561155757563,4241561155774063,17389,958,1,5.1890000000000001,1285.1869999999999,1276.9369999999999,1293.4369999999999,1,1,1,4241561155774471,4241561155774904,4241561163866910,132,251
live-handoff,serial-destroy,5,2,ok,1,10,3428,9.9860477447509766,nan,nan,0.0081919999793171883,0.99860477447509766,1,0,0,1,2,4241561184062228,4241561184065560,4241561184220035,1790062937235914752,4241561185218861,4241561185219401,4241561185219422,4241561185219794,4241561185220841,4241561276506296,4241561184058584,4241561276507341,4241561276511073,4241561276515806,4241561276624494,0.54000000000000004,91285.455000000002,91287.434999999998,4.7770000000000001,4.7329999999999997,113.42100000000001,91405.633000000002,1790062937328313344,1790062937328313344,4241561276615578,4241561276606784,4241561276624372,17089,1973.5,1,91292.212,91396.717000000004,91387.922999999995,91405.510999999999,1,-1,0,0,0,0,137,266
calibration,a_with_idle_b,6,0,ok,1,10,3428,9.9840002059936523,9.9840002059936523,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,6,0,ok,1,10,3428,9.9860477447509766,10.382335662841797,18695.600567673315,0.0071680000983178616,0.99860477447509766,1,-1,0,1,2,4241561449430693,4241561449433783,4241561449588003,1790062937501277184,4241561450586856,4241561450587214,4241561450587271,4241561450588161,0,0,4241561449428396,4241561450587372,4241561450590071,4241561450593425,4241561451879662,0.35799999999999998,nan,nan,nan,3.3540000000000001,1289.5909999999999,1292.806,1790062937503565824,1790062937503566848,4241561451871988,4241561451864314,4241561451879662,15628,503.5,1,3.2149999999999999,1285.1320000000001,1277.4580000000001,1292.806,1,1,1,4241561451879909,4241561451880179,4241561459968000,150,281
live-handoff,serial-destroy,6,1,ok,1,10,3428,9.9860477447509766,nan,nan,0.0081919999793171883,0.99860477447509766,1,0,0,1,2,4241561480065548,4241561480067672,4241561480222380,1790062937531911168,4241561481221219,4241561481221489,4241561481221512,4241561481221795,4241561481222498,4241561561709884,4241561480063315,4241561561710691,4241561561713509,4241561561717983,4241561561825443,0.27000000000000002,80487.385999999999,80488.664999999994,3.625,4.4740000000000002,111.934,80604.224000000002,1790062937613509632,1790062937613509632,4241561561817460.5,4241561561809540,4241561561825381,14335,2302,1,80492.289999999994,80596.241500000004,80588.320999999996,80604.161999999997,1,-1,0,0,0,0,155,296
live-handoff,idle,6,2,ok,1,10,3428,9.9850244522094727,nan,nan,0.0081919999793171883,0,0,-1,0,1,2,0,0,0,0,4241561692806043,4241561692806387,4241561692806428,4241561692807315,0,0,4241561692804954,4241561692806443,4241561692809623,4241561692814439,4241561692824754,0.34399999999999997,nan,nan,nan,4.8159999999999998,15.131,18.710999999999999,1790062937744506880,1790062937744506880,4241561692817496.5,4241561692810367,4241561692824626,14259,195.5,1,3.5800000000000001,11.4535,4.3239999999999998,18.582999999999998,0,0,1,4241561692824992,4241561692825250,0,0,311
calibration,a_with_idle_b,7,0,ok,1,10,3428,9.9840002059936523,9.9840002059936523,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,7,0,ok,1,10,3428,9.9850244522094727,nan,nan,0.0071680000983178616,0.99850244522094733,1,0,0,1,2,4241561729598429,4241561729600791,4241561729751248,1790062937781436416,4241561730749920,4241561730750223,4241561730750314,4241561730750655,4241561730751290,4241561809246972,4241561729596077,4241561809247515,4241561809250024,4241561809253440,4241561809358053,0.30299999999999999,78495.682000000001,78497.051999999996,3.052,3.4159999999999999,108.029,78608.133000000002,1790062937861038080,1790062937861038080,4241561809350729,4241561809343405,4241561809358053,12658,2544.5,1,78500.104000000007,78600.808999999994,78593.485000000001,78608.133000000002,1,-1,0,0,0,0,172,326
live-handoff,idle,7,1,ok,1,10,3428,9.9850244522094727,nan,nan,0.0051199998706579208,0,0,-1,0,1,2,0,0,0,0,4241561939611247,4241561939611467,4241561939611506,4241561939612388,0,0,4241561939607700,4241561939611540,4241561939621900,4241561939624916,4241561939634204,0.22,nan,nan,nan,3.016,12.304,22.957000000000001,1790062937991312384,1790062937991312384,4241561939628248,4241561939622292,4241561939634204,12196,-361,1,10.653,17.001000000000001,11.045,22.957000000000001,0,0,1,4241561939634386,4241561939634639,0,0,341
live-handoff,live-handoff,7,2,ok,1,10,3428,9.9860477447509766,10.383359909057617,18693.756376746522,0.0061440002173185349,0.99860477447509766,1,-1,0,1,2,4241561959504365,4241561959506246,4241561959660807,1790062938011340800,4241561960659594,4241561960659829,4241561960659846,4241561960660157,0,0,4241561959502591,4241561960660023,4241561960663063,4241561960667991,4241561961951495,0.23499999999999999,nan,nan,nan,4.9279999999999999,1288.432,1291.9010000000001,1790062938013627392,1790062938013627392,4241561961943367.5,4241561961936190,4241561961950545,13977,385,1,3.4689999999999999,1283.7735,1276.596,1290.951,1,1,1,4241561961951847,4241561961952065,4241561970041191,181,356
calibration,a_with_idle_b,8,0,ok,1,10,3428,9.9850244522094727,9.9850244522094727,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,idle,8,0,ok,1,10,3428,9.9850244522094727,nan,nan,0.0071680000983178616,0,0,-1,0,1,2,0,0,0,0,4241562006995892,4241562006996098,4241562006996139,4241562006996437,0,0,4241562006994783,4241562006996228,4241562006999225,4241562007003932,4241562007014283,0.20599999999999999,nan,nan,nan,4.7069999999999999,15.058,18.390999999999998,1790062938058690560,1790062938058690560,4241562007007357,4241562007000431,4241562007014283,14076,14,1,3.3330000000000002,11.465,4.5389999999999997,18.390999999999998,0,0,1,4241562007014526,4241562007014758,0,0,371
live-handoff,live-handoff,8,1,ok,1,10,3428,9.9860477447509766,10.380288124084473,18699.288323378762,0.0061440002173185349,0.99860477447509766,1,-1,0,1,2,4241562026918027,4241562026920297,4241562027075160,1790062938078754816,4241562028073974,4241562028074193,4241562028074216,4241562028074529,0,0,4241562026916474,4241562028074434,4241562028077423,4241562028082214,4241562029361846,0.219,nan,nan,nan,4.7910000000000004,1284.423,1287.8720000000001,1790062938081037312,1790062938081037312,4241562029354242,4241562029347174,4241562029361310,13988,237.5,1,3.4489999999999998,1280.268,1273.2,1287.336,1,1,1,4241562029362081,4241562029362325,4241562037453115,198,386
live-handoff,serial-destroy,8,2,ok,1,10,3428,9.9860477447509766,nan,nan,0.0071680000983178616,0.99860477447509766,1,0,0,1,2,4241562057517596,4241562057519415,4241562057674200,1790062938109352960,4241562058672965,4241562058673268,4241562058673358,4241562058673599,4241562058674172,4241562137374874,4241562057515788,4241562137375758,4241562137379030,4241562137383200,4241562137490966,0.30299999999999999,78700.702000000005,78701.909,4.1559999999999997,4.1699999999999999,111.93600000000001,78818.001000000004,1790062938189163520,1790062938189164544,4241562137481852.5,4241562137474412,4241562137489293,13856,1493,1,78706.065000000002,78808.887499999997,78801.447,78816.327999999994,1,-1,0,0,0,0,203,401
calibration,a_with_idle_b,9,0,ok,1,10,3428,9.9840002059936523,9.9840002059936523,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,9,0,ok,1,10,3428,9.9860477447509766,10.376192092895508,18706.669920355598,0.0051199998706579208,0.99860477447509766,1,-1,0,1,2,4241562284599858,4241562284602209,4241562284756814,1790062938336431104,4241562285755659,4241562285755921,4241562285755944,4241562285756697,0,0,4241562284598019,4241562285756060,4241562285758385,4241562285761867,4241562287045223,0.26200000000000001,nan,nan,nan,3.4820000000000002,1286.838,1289.5640000000001,1790062938338716672,1790062938338716672,4241562287038702.5,4241562287032182,4241562287045223,12680,862.5,1,2.726,1283.0435,1276.5229999999999,1289.5640000000001,1,1,1,4241562287045493,4241562287045735,4241562295130751,216,416
