round,phase,channel_ordinal,read_begin_rel_ns,read_end_rel_ns,get_first,put_first,get_second,put_second,repeated_values_equal,gpfifo_entries,api_begin_rel_ns,api_end_rel_ns,api_result
21,event_query,2,2948763,2953569,1,1,1,1,True,1024,2931039,2937387,0
21,event_query,3,2953876,2959070,1,1,1,1,True,1024,2931039,2937387,0
21,event_query,4,2959493,2964687,1,1,1,1,True,1024,2931039,2937387,0
21,event_query,5,2964990,2969813,1,1,1,1,True,1024,2931039,2937387,0
21,event_query,6,2970116,2975086,1,1,1,1,True,1024,2931039,2937387,0
21,event_query,7,2975389,2980503,1,1,1,1,True,1024,2931039,2937387,0
22,after_elapsed_time,0,2986561,2991516,122,122,122,122,True,1024,2983600,2985666,0
22,after_elapsed_time,1,2991855,2996789,7,7,7,7,True,1024,2983600,2985666,0
22,after_elapsed_time,2,2997099,3001887,1,1,1,1,True,1024,2983600,2985666,0
22,after_elapsed_time,3,3002356,3007549,1,1,1,1,True,1024,2983600,2985666,0
22,after_elapsed_time,4,3007871,3013054,1,1,1,1,True,1024,2983600,2985666,0
22,after_elapsed_time,5,3013358,3018183,1,1,1,1,True,1024,2983600,2985666,0
22,after_elapsed_time,6,3018483,3023459,1,1,1,1,True,1024,2983600,2985666,0
22,after_elapsed_time,7,3023759,3028873,1,1,1,1,True,1024,2983600,2985666,0
23,after_dtoh,0,3068292,3073235,122,122,122,122,True,1024,3032103,3067501,0
23,after_dtoh,1,3073596,3078527,7,7,7,7,True,1024,3032103,3067501,0
23,after_dtoh,2,3078837,3083597,1,1,1,1,True,1024,3032103,3067501,0
23,after_dtoh,3,3083901,3089105,1,1,1,1,True,1024,3032103,3067501,0
23,after_dtoh,4,3089563,3094757,1,1,1,1,True,1024,3032103,3067501,0
23,after_dtoh,5,3095059,3099873,1,1,1,1,True,1024,3032103,3067501,0
23,after_dtoh,6,3100174,3105149,1,1,1,1,True,1024,3032103,3067501,0
23,after_dtoh,7,3105451,3110592,1,1,1,1,True,1024,3032103,3067501,0
24,idle_after,0,3117463,3122423,122,122,122,122,True,1024,,,-1
24,idle_after,1,3122788,3127727,7,7,7,7,True,1024,,,-1
24,idle_after,2,3128036,3132807,1,1,1,1,True,1024,,,-1
24,idle_after,3,3133124,3138313,1,1,1,1,True,1024,,,-1
24,idle_after,4,3138710,3143906,1,1,1,1,True,1024,,,-1
24,idle_after,5,3144229,3149036,1,1,1,1,True,1024,,,-1
24,idle_after,6,3149336,3154289,1,1,1,1,True,1024,,,-1
24,idle_after,7,3154591,3159732,1,1,1,1,True,1024,,,-1
25,idle_after,0,3316503,3321457,122,122,122,122,True,1024,,,-1
25,idle_after,1,3321843,3326759,7,7,7,7,True,1024,,,-1
25,idle_after,2,3327076,3331846,1,1,1,1,True,1024,,,-1
25,idle_after,3,3332179,3337379,1,1,1,1,True,1024,,,-1
25,idle_after,4,3337785,3342977,1,1,1,1,True,1024,,,-1
25,idle_after,5,3343285,3348114,1,1,1,1,True,1024,,,-1
25,idle_after,6,3348424,3353387,1,1,1,1,True,1024,,,-1
25,idle_after,7,3353696,3358794,1,1,1,1,True,1024,,,-1
26,idle_after,0,3514685,3519612,122,122,122,122,True,1024,,,-1
26,idle_after,1,3519979,3524897,7,7,7,7,True,1024,,,-1
26,idle_after,2,3525219,3529977,1,1,1,1,True,1024,,,-1
26,idle_after,3,3530315,3535512,1,1,1,1,True,1024,,,-1
26,idle_after,4,3535919,3541114,1,1,1,1,True,1024,,,-1
26,idle_after,5,3541426,3546265,1,1,1,1,True,1024,,,-1
26,idle_after,6,3546574,3551527,1,1,1,1,True,1024,,,-1
26,idle_after,7,3551838,3556953,1,1,1,1,True,1024,,,-1
27,idle_after,0,3715505,3720453,122,122,122,122,True,1024,,,-1
27,idle_after,1,3720823,3725759,7,7,7,7,True,1024,,,-1
27,idle_after,2,3726079,3730826,1,1,1,1,True,1024,,,-1
27,idle_after,3,3731158,3736349,1,1,1,1,True,1024,,,-1
27,idle_after,4,3736754,3741957,1,1,1,1,True,1024,,,-1
27,idle_after,5,3742266,3747085,1,1,1,1,True,1024,,,-1
27,idle_after,6,3747395,3752436,1,1,1,1,True,1024,,,-1
27,idle_after,7,3752745,3757877,1,1,1,1,True,1024,,,-1
28,idle_after,0,3913967,3918905,122,122,122,122,True,1024,,,-1
28,idle_after,1,3919275,3924197,7,7,7,7,True,1024,,,-1
28,idle_after,2,3924520,3929297,1,1,1,1,True,1024,,,-1
28,idle_after,3,3929610,3934799,1,1,1,1,True,1024,,,-1
28,idle_after,4,3935212,3940407,1,1,1,1,True,1024,,,-1
28,idle_after,5,3940717,3945535,1,1,1,1,True,1024,,,-1
28,idle_after,6,3945849,3950827,1,1,1,1,True,1024,,,-1
28,idle_after,7,3951139,3956274,1,1,1,1,True,1024,,,-1
29,idle_after,0,4113412,4118362,122,122,122,122,True,1024,,,-1
29,idle_after,1,4118742,4123679,7,7,7,7,True,1024,,,-1
29,idle_after,2,4124000,4128747,1,1,1,1,True,1024,,,-1
29,idle_after,3,4129059,4134269,1,1,1,1,True,1024,,,-1
29,idle_after,4,4134695,4139884,1,1,1,1,True,1024,,,-1
29,idle_after,5,4140195,4145006,1,1,1,1,True,1024,,,-1
29,idle_after,6,4145316,4150277,1,1,1,1,True,1024,,,-1
29,idle_after,7,4150587,4155692,1,1,1,1,True,1024,,,-1
30,idle_after,0,4312289,4317247,122,122,122,122,True,1024,,,-1
30,idle_after,1,4317610,4322536,7,7,7,7,True,1024,,,-1
30,idle_after,2,4322854,4327616,1,1,1,1,True,1024,,,-1
30,idle_after,3,4327928,4333102,1,1,1,1,True,1024,,,-1
30,idle_after,4,4333517,4338717,1,1,1,1,True,1024,,,-1
30,idle_after,5,4339029,4343862,1,1,1,1,True,1024,,,-1
30,idle_after,6,4344173,4349129,1,1,1,1,True,1024,,,-1
30,idle_after,7,4349442,4354554,1,1,1,1,True,1024,,,-1
31,idle_after,0,4512898,4517854,122,122,122,122,True,1024,,,-1
31,idle_after,1,4518212,4523130,7,7,7,7,True,1024,,,-1
31,idle_after,2,4523451,4528226,1,1,1,1,True,1024,,,-1
31,idle_after,3,4528535,4533799,1,1,1,1,True,1024,,,-1
31,idle_after,4,4534204,4539418,1,1,1,1,True,1024,,,-1
31,idle_after,5,4539723,4544515,1,1,1,1,True,1024,,,-1
31,idle_after,6,4544821,4549777,1,1,1,1,True,1024,,,-1
31,idle_after,7,4550082,4555225,1,1,1,1,True,1024,,,-1
